x y u v p
3.14319 33.1077 5.55788e-05 2.2704e-06 9.13922e-05
4.85687 32.9906 3.21504e-05 2.2101e-06 9.07702e-05
5.09145 33.055 3.40713e-05 2.88401e-06 9.09314e-05
4.64097 32.8946 2.73472e-05 1.40306e-06 9.0595e-05
5.32414 33.1171 3.53479e-05 3.61799e-06 9.11277e-05
5.5387 33.2159 3.83931e-05 4.88809e-06 9.14023e-05
5.80896 33.2595 3.70778e-05 5.54131e-06 9.16597e-05
6.12139 33.2711 3.32328e-05 5.72556e-06 9.19545e-05
6.24789 33.0653 2.24262e-05 3.1417e-06 9.17518e-05
6.29214 32.8702 1.3974e-05 1.37539e-06 9.14593e-05
3.32091 32.9192 3.7621e-05 1.16861e-06 9.10652e-05
3.47871 32.8234 2.84228e-05 7.3764e-07 9.08457e-05
9.73371 32.9347 -1.84824e-07 -3.09808e-07 9.71047e-05
9.44349 32.9745 -3.61766e-07 -2.27037e-07 9.69515e-05
10.0151 33.0487 6.4917e-36 -3.82126e-37 9.71544e-05
4.41358 32.9091 2.99629e-05 1.45194e-06 9.06277e-05
4.23072 32.9943 3.76768e-05 2.03173e-06 9.07858e-05
4.02952 32.9135 3.28786e-05 1.37647e-06 9.07174e-05
3.66381 32.8713 3.16148e-05 1.02042e-06 9.08089e-05
3.8652 32.9818 3.94827e-05 1.78767e-06 9.08704e-05
7.59514 32.6778 2.12761e-06 2.62026e-07 9.31906e-05
7.44432 32.8236 5.13805e-06 8.99699e-07 9.31253e-05
7.26341 32.8069 5.78852e-06 8.50251e-07 9.27661e-05
7.08081 32.8183 7.08683e-06 9.48387e-07 9.24695e-05
6.75483 32.8582 1.02756e-05 1.25153e-06 9.20305e-05
6.94284 32.9008 1.02036e-05 1.52275e-06 9.23877e-05
6.603 32.804 9.49839e-06 9.19579e-07 9.17222e-05
6.44607 32.8229 1.11236e-05 1.04602e-06 9.15545e-05
9.23408 32.8991 -4.29103e-07 -3.10069e-08 9.66794e-05
9.04607 32.9043 -2.82319e-07 1.58926e-07 9.64e-05
8.71909 32.8149 1.88605e-08 2.90201e-07 9.57515e-05
8.84888 32.926 1.15628e-07 4.11167e-07 9.6077e-05
8.5248 32.6747 9.50661e-09 1.23175e-07 9.52338e-05
0.284003 33.4859 0.000104734 -1.91755e-07 9.33798e-05
8.28849 32.6897 4.68112e-07 1.94665e-07 9.47158e-05
8.09053 32.7022 9.99154e-07 2.61068e-07 9.42864e-05
7.75844 32.6928 1.83572e-06 2.88068e-07 9.35533e-05
7.90586 32.8713 3.39805e-06 9.8002e-07 9.411e-05
0 33.6726 0.000124586 -1.63578e-38 9.35437e-05
0.548494 33.6252 0.000119323 1.16092e-07 9.33949e-05
0.764394 33.419 9.7388e-05 2.23468e-07 9.31998e-05
1.85748 33.4241 9.43754e-05 2.47792e-06 9.25528e-05
2.49466 33.4546 9.2904e-05 4.11183e-06 9.2135e-05
2.84486 33.4586 9.00625e-05 4.89497e-06 9.19184e-05
2.1908 33.5518 0.000104742 4.15891e-06 9.241e-05
1.2215 33.4163 9.62118e-05 1.05692e-06 9.29657e-05
1.40996 33.3373 8.75173e-05 1.18815e-06 9.281e-05
1.6265 33.3212 8.50952e-05 1.52655e-06 9.2652e-05
1.01055 33.5268 0.00010822 8.83483e-07 9.31408e-05
3.09681 33.3379 7.66387e-05 4.1659e-06 9.16603e-05
3.35289 33.191 6.12696e-05 3.12911e-06 9.13648e-05
4.95114 33.2074 4.53765e-05 4.53918e-06 9.11324e-05
4.72098 33.1413 4.36415e-05 3.6493e-06 9.09886e-05
5.18104 33.261 4.58179e-05 5.34988e-06 9.12888e-05
4.49952 33.0675 4.07283e-05 2.7864e-06 9.08655e-05
5.36477 33.4209 5.28361e-05 7.82112e-06 9.16116e-05
5.67266 33.4736 5.07387e-05 8.85601e-06 9.18773e-05
6.00007 33.4849 4.56239e-05 9.13303e-06 9.21598e-05
6.44161 33.2409 2.74316e-05 5.25728e-06 9.22569e-05
6.3243 33.4592 3.87354e-05 8.65701e-06 9.24497e-05
6.53824 33.0206 1.76431e-05 2.64358e-06 9.20166e-05
3.52491 33.0505 4.77312e-05 2.11997e-06 9.1111e-05
9.83519 33.1301 -8.94953e-08 -4.02688e-07 9.72865e-05
